isolate	scheme	ST	adk	fumC	gyrB	icd	mdh	purA	recA
GCF_004358965.1_ASM435896v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_004358985.1_ASM435898v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_004368015.1_ASM436801v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_004377995.2_ASM437799v2	ecoli_achtman_4	457	adk(101)	fumC(88)	gyrB(97)	icd(108)	mdh(26)	purA(79)	recA(2)
GCF_004405205.2_ASM440520v2	ecoli_achtman_4	44	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(7)
GCF_004526255.1_ASM452625v1	ecoli_achtman_4	46	adk(8)	fumC(7)	gyrB(1)	icd(8)	mdh(8)	purA(8)	recA(6)
GCF_004564035.1_ASM456403v1	ecoli_achtman_4	141	adk(13)	fumC(52)	gyrB(10)	icd(14)	mdh(17)	purA(25)	recA(17)
GCF_004564175.1_ASM456417v1	ecoli_achtman_4	405	adk(35)	fumC(37)	gyrB(29)	icd(25)	mdh(4)	purA(5)	recA(73)
GCF_004759025.1_ASM475902v1	ecoli_achtman_4	38	adk(4)	fumC(26)	gyrB(2)	icd(25)	mdh(5)	purA(5)	recA(19)
GCF_004771135.1_ASM477113v1	ecoli_achtman_4	73	adk(36)	fumC(24)	gyrB(9)	icd(13)	mdh(17)	purA(11)	recA(25)
GCF_004771235.1_ASM477123v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_004792495.1_ASM479249v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_004801575.1_ASM480157v1	ecoli_achtman_4	48	adk(6)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_004804185.1_ASM480418v1	ecoli_achtman_4	583	adk(15)	fumC(24)	gyrB(10)	icd(46)	mdh(17)	purA(37)	recA(36)
GCF_004804205.1_ASM480420v1	ecoli_achtman_4	122	adk(15)	fumC(24)	gyrB(10)	icd(46)	mdh(33)	purA(37)	recA(36)
GCF_004924255.1_ASM492425v1	ecoli_achtman_4	542	adk(112)	fumC(11)	gyrB(5)	icd(12)	mdh(8)	purA(8)	recA(86)
GCF_004924275.1_ASM492427v1	ecoli_achtman_4	515	adk(57)	fumC(11)	gyrB(1)	icd(109)	mdh(7)	purA(8)	recA(2)
GCF_004924355.1_ASM492435v1	ecoli_achtman_4	1196	adk(6)	fumC(6)	gyrB(33)	icd(26)	mdh(11)	purA(8)	recA(2)
GCF_005014055.1_ASM501405v1	ecoli_achtman_4	223	adk(6)	fumC(4)	gyrB(4)	icd(18)	mdh(24)	purA(8)	recA(14)
GCF_005014075.1_ASM501407v1	ecoli_achtman_4	678	adk(6)	fumC(6)	gyrB(5)	icd(136)	mdh(9)	purA(7)	recA(7)
GCF_005037715.1_ASM503771v2	ecoli_achtman_4	655	adk(100)	fumC(23)	gyrB(68)	icd(45)	mdh(1)	purA(35)	recA(7)
GCF_005037725.1_ASM503772v2	ecoli_achtman_4	21	adk(16)	fumC(4)	gyrB(12)	icd(16)	mdh(9)	purA(7)	recA(7)
GCF_005037735.1_ASM503773v2	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_005037775.1_ASM503777v2	ecoli_achtman_4	442	adk(6)	fumC(95)	gyrB(33)	icd(18)	mdh(9)	purA(8)	recA(14)
GCF_005037795.1_ASM503779v2	ecoli_achtman_4	17	adk(6)	fumC(4)	gyrB(3)	icd(17)	mdh(7)	purA(7)	recA(6)
GCF_005037805.1_ASM503780v2	ecoli_achtman_4	16	adk(6)	fumC(4)	gyrB(12)	icd(16)	mdh(9)	purA(7)	recA(12)
GCF_005037815.1_ASM503781v2	ecoli_achtman_4	32	adk(19)	fumC(23)	gyrB(18)	icd(24)	mdh(21)	purA(2)	recA(16)
GCF_005037845.1_ASM503784v2	ecoli_achtman_4	17	adk(6)	fumC(4)	gyrB(3)	icd(17)	mdh(7)	purA(7)	recA(6)
GCF_005156265.1_ASM515626v1	ecoli_achtman_4	167	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(13)	recA(2)
GCF_005221505.1_ASM522150v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_005221525.1_ASM522152v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_005221545.1_ASM522154v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_005221565.1_ASM522156v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_005221585.1_ASM522158v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_005221605.1_ASM522160v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_005221625.1_ASM522162v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_005221645.1_ASM522164v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_005221665.1_ASM522166v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_005221685.1_ASM522168v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_005221705.1_ASM522170v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_005221725.1_ASM522172v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_005221745.1_ASM522174v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_005221765.1_ASM522176v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_005221785.1_ASM522178v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_005221805.1_ASM522180v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_005221825.1_ASM522182v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_005221845.1_ASM522184v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_005221865.1_ASM522186v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_005221885.1_ASM522188v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_005221905.1_ASM522190v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_005221925.1_ASM522192v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_005221945.1_ASM522194v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_005221965.1_ASM522196v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_005221985.1_ASM522198v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_005222005.1_ASM522200v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_005222025.1_ASM522202v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_005222045.1_ASM522204v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_005222065.1_ASM522206v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_005222265.1_ASM522226v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_005222285.1_ASM522228v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_005222305.1_ASM522230v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_005222325.1_ASM522232v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_005222345.1_ASM522234v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_005222365.1_ASM522236v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_005222385.1_ASM522238v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_005222405.1_ASM522240v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_005222425.1_ASM522242v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_005222445.1_ASM522244v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_005383105.2_ASM538310v2	ecoli_achtman_4	38	adk(4)	fumC(26)	gyrB(2)	icd(25)	mdh(5)	purA(5)	recA(19)
GCF_005389605.2_ASM538960v2	ecoli_achtman_4	109	adk(6)	fumC(6)	gyrB(1)	icd(16)	mdh(9)	purA(13)	recA(2)
GCF_005391285.2_ASM539128v2	ecoli_achtman_4	392	adk(6)	fumC(6)	gyrB(14)	icd(18)	mdh(7)	purA(7)	recA(71)
GCF_005393605.2_ASM539360v2	ecoli_achtman_4	392	adk(6)	fumC(6)	gyrB(14)	icd(18)	mdh(7)	purA(7)	recA(71)
GCF_005396225.2_ASM539622v2	ecoli_achtman_4	7010	adk(6)	fumC(4)	gyrB(600)	icd(16)	mdh(7)	purA(8)	recA(7)
GCF_005484365.1_ASM548436v1	ecoli_achtman_4	410	adk(6)	fumC(4)	gyrB(12)	icd(1)	mdh(20)	purA(18)	recA(7)
GCF_005671355.1_ASM567135v1	ecoli_achtman_4	410	adk(6)	fumC(4)	gyrB(12)	icd(1)	mdh(20)	purA(18)	recA(7)
GCF_005885915.1_ASM588591v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_005885955.1_ASM588595v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_005886035.1_ASM588603v1	ecoli_achtman_4	38	adk(4)	fumC(26)	gyrB(2)	icd(25)	mdh(5)	purA(5)	recA(19)
GCF_005890115.1_ASM589011v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_005954605.1_ASM595460v1	ecoli_achtman_4	11066	adk(10)	fumC(11)	gyrB(265)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_005954625.1_ASM595462v1	ecoli_achtman_4	11066	adk(10)	fumC(11)	gyrB(265)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_005954725.1_ASM595472v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_006088875.1_ASM608887v1	ecoli_achtman_4	131	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
GCF_006337025.1_ASM633702v1	ecoli_achtman_4	410	adk(6)	fumC(4)	gyrB(12)	icd(1)	mdh(20)	purA(18)	recA(7)
GCF_006351885.1_ASM635188v1	ecoli_achtman_4	8655	adk(92)	fumC(4)	gyrB(732)	icd(96)	mdh(70)	purA(58)	recA(2)
GCF_006352265.1_ASM635226v1	ecoli_achtman_4	410	adk(6)	fumC(4)	gyrB(12)	icd(1)	mdh(20)	purA(18)	recA(7)
GCF_006364695.1_ASM636469v1	ecoli_achtman_4	678	adk(6)	fumC(6)	gyrB(5)	icd(136)	mdh(9)	purA(7)	recA(7)
GCF_006536085.2_ASM653608v3	ecoli_achtman_4	410	adk(6)	fumC(4)	gyrB(12)	icd(1)	mdh(20)	purA(18)	recA(7)
GCF_006537505.2_ASM653750v3	ecoli_achtman_4	410	adk(6)	fumC(4)	gyrB(12)	icd(1)	mdh(20)	purA(18)	recA(7)
GCF_006777045.1_ASM677704v1	ecoli_achtman_4	648	adk(92)	fumC(4)	gyrB(87)	icd(96)	mdh(70)	purA(58)	recA(2)
GCF_006777065.1_ASM677706v1	ecoli_achtman_4	10754	adk(43)	fumC(1547)	gyrB(15)	icd(18)	mdh(11)	purA(7)	recA(6)
GCF_006777085.1_ASM677708v1	ecoli_achtman_4	-	adk(20)	fumC(~750)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
GCF_006874785.1_ASM687478v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_006965465.1_ASM696546v1	ecoli_achtman_4	38	adk(4)	fumC(26)	gyrB(2)	icd(25)	mdh(5)	purA(5)	recA(19)
GCF_007012305.1_ASM701230v1	ecoli_achtman_4	167	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(13)	recA(2)
GCF_007632435.1_ASM763243v1	ecoli_achtman_4	2599	adk(267)	fumC(6)	gyrB(5)	icd(26)	mdh(9)	purA(13)	recA(98)
GCF_007833255.1_ASM783325v1	ecoli_achtman_4	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
GCF_007833295.1_ASM783329v1	ecoli_achtman_4	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
GCF_007833875.1_ASM783387v1	ecoli_achtman_4	10522	adk(13)	fumC(1505)	gyrB(9)	icd(13)	mdh(16)	purA(10)	recA(9)
GCF_007922655.1_ASM792265v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_007954215.2_ASM795421v2	ecoli_achtman_4	1081	adk(6)	fumC(4)	gyrB(5)	icd(18)	mdh(11)	purA(8)	recA(2)
GCF_007990655.1_ASM799065v1	ecoli_achtman_4	16	adk(6)	fumC(4)	gyrB(12)	icd(16)	mdh(9)	purA(7)	recA(12)
GCF_007995175.1_ASM799517v1	ecoli_achtman_4	162	adk(9)	fumC(65)	gyrB(5)	icd(1)	mdh(9)	purA(13)	recA(6)
GCF_008033295.1_ASM803329v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_008033315.1_ASM803331v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_008042015.2_ASM804201v2	ecoli_achtman_4	410	adk(6)	fumC(4)	gyrB(12)	icd(1)	mdh(20)	purA(18)	recA(7)
GCF_008065435.1_ASM806543v1	ecoli_achtman_4	-	adk(6)	fumC(11)	gyrB(~708)	icd(1)	mdh(7)	purA(8)	recA(2)
GCF_008065455.1_ASM806545v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_008080655.1_ASM808065v1	ecoli_achtman_4	48	adk(6)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_008124005.1_ASM812400v1	ecoli_achtman_4	10082	adk(10)	fumC(27)	gyrB(899)	icd(10)	mdh(12)	purA(8)	recA(49)
GCF_008124085.1_ASM812408v1	ecoli_achtman_4	141	adk(13)	fumC(52)	gyrB(10)	icd(14)	mdh(17)	purA(25)	recA(17)
GCF_008124105.1_ASM812410v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_008124125.1_ASM812412v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_008124145.1_ASM812414v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_008124165.1_ASM812416v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_008124185.1_ASM812418v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_008124205.1_ASM812420v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_008124225.1_ASM812422v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_008124245.1_ASM812424v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_008124265.1_ASM812426v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_008124285.1_ASM812428v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_008124305.1_ASM812430v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_008124325.1_ASM812432v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_008124345.1_ASM812434v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_008124365.1_ASM812436v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_008124385.1_ASM812438v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_008124405.1_ASM812440v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_008124425.1_ASM812442v1	ecoli_achtman_4	167	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(13)	recA(2)
GCF_008152105.1_ASM815210v1	ecoli_achtman_4	457	adk(101)	fumC(88)	gyrB(97)	icd(108)	mdh(26)	purA(79)	recA(2)
GCF_008329665.1_ASM832966v1	ecoli_achtman_4	223	adk(6)	fumC(4)	gyrB(4)	icd(18)	mdh(24)	purA(8)	recA(14)
GCF_008370755.1_ASM837075v1	ecoli_achtman_4	40	adk(6)	fumC(4)	gyrB(5)	icd(26)	mdh(20)	purA(8)	recA(14)
GCF_008375335.1_ASM837533v1	ecoli_achtman_4	48	adk(6)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_008462425.1_ASM846242v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_008632555.1_ASM863255v1	ecoli_achtman_4	167	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(13)	recA(2)
GCF_008632575.1_ASM863257v1	ecoli_achtman_4	167	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(13)	recA(2)
GCF_008632595.1_ASM863259v1	ecoli_achtman_4	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
GCF_008634095.2_ASM863409v2	ecoli_achtman_4	32	adk(19)	fumC(23)	gyrB(18)	icd(24)	mdh(21)	purA(2)	recA(16)
GCF_008635785.2_ASM863578v2	ecoli_achtman_4	32	adk(19)	fumC(23)	gyrB(18)	icd(24)	mdh(21)	purA(2)	recA(16)
GCF_008642395.1_ASM864239v1	ecoli_achtman_4	38	adk(4)	fumC(26)	gyrB(2)	icd(25)	mdh(5)	purA(5)	recA(19)
GCF_008642415.1_ASM864241v1	ecoli_achtman_4	191	adk(6)	fumC(29)	gyrB(5)	icd(18)	mdh(11)	purA(8)	recA(41)
GCF_008727135.1_ASM872713v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_008727155.1_ASM872715v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_008727175.1_ASM872717v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_008727195.1_ASM872719v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_008761455.2_ASM876145v2	ecoli_achtman_4	2217	adk(6)	fumC(11)	gyrB(32)	icd(10)	mdh(24)	purA(8)	recA(7)
GCF_008761475.2_ASM876147v2	ecoli_achtman_4	2217	adk(6)	fumC(11)	gyrB(32)	icd(10)	mdh(24)	purA(8)	recA(7)
GCF_008761495.2_ASM876149v2	ecoli_achtman_4	2217	adk(6)	fumC(11)	gyrB(32)	icd(10)	mdh(24)	purA(8)	recA(7)
GCF_008761515.1_ASM876151v1	ecoli_achtman_4	223	adk(6)	fumC(4)	gyrB(4)	icd(18)	mdh(24)	purA(8)	recA(14)
GCF_008761535.2_ASM876153v3	ecoli_achtman_4	17	adk(6)	fumC(4)	gyrB(3)	icd(17)	mdh(7)	purA(7)	recA(6)
GCF_008807135.1_ASM880713v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_008807155.1_ASM880715v1	ecoli_achtman_4	761	adk(10)	fumC(11)	gyrB(5)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_008807295.1_ASM880729v1	ecoli_achtman_4	761	adk(10)	fumC(11)	gyrB(5)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_008807655.1_ASM880765v1	ecoli_achtman_4	38	adk(4)	fumC(26)	gyrB(2)	icd(25)	mdh(5)	purA(5)	recA(19)
GCF_008823185.1_ASM882318v1	ecoli_achtman_4	1695	adk(10)	fumC(11)	gyrB(4)	icd(1)	mdh(8)	purA(18)	recA(2)
GCF_008824125.1_ASM882412v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_008925965.1_ASM892596v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_008926085.1_ASM892608v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_008926105.1_ASM892610v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_008926125.1_ASM892612v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_008926145.1_ASM892614v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_008926165.1_ASM892616v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_008926185.1_ASM892618v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_008926305.1_ASM892630v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_008931135.1_ASM893113v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_008931185.1_ASM893118v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_008931725.1_ASM893172v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_008931745.1_ASM893174v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_008931765.1_ASM893176v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_008931865.1_ASM893186v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_008949495.1_ASM894949v1	ecoli_achtman_4	354	adk(85)	fumC(88)	gyrB(78)	icd(29)	mdh(59)	purA(58)	recA(62)
GCF_009176965.1_ASM917696v1	ecoli_achtman_4	542	adk(112)	fumC(11)	gyrB(5)	icd(12)	mdh(8)	purA(8)	recA(86)
GCF_009363035.1_ASM936303v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_009395265.1_ASM939526v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_009431955.1_ASM943195v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_009432215.1_ASM943221v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_009432415.1_ASM943241v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_009432635.1_ASM943263v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_009432795.1_ASM943279v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_009432915.1_ASM943291v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_009433135.1_ASM943313v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_009577985.1_ASM957798v1	ecoli_achtman_4	131	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
