Name	Species	O-type	H-type	Serotype	QC	Evidence	GeneScores	AlleleKeys	GeneIdentities(%)	GeneCoverages(%)	GeneContigNames	GeneRanges	GeneLengths	Database	Warnings
GCF_001886755.1_ASM188675v1_genomic	-	O89	H9	O89:H9	-	Based on 3 allele(s)	wzm:0.941;wzt:0.936;fliC:1;	O89-1-wzm-origin;O89-4-wzt;H9-3-fliC;	94.103;93.625;100;	100;100;100;	NZ_CP018109.1;NZ_CP018109.1;NZ_CP018109.1;	647905-648684;648691-649443;2108381-2110393;	780;753;2013;	v1.0 (11-03-2020)	High similarity O-antigen group 15:O89/O101/O162 as per A.Iguchi et.al (PMID: 25428893)
GCF_001886895.1_ASM188689v1_genomic	-	O104	H4	O104:H4	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O104-5-wzx-origin;O104-13-wzy;H4-2-fliC-origin;	100;100;100;	100;100;100;	NZ_CP013185.1;NZ_CP013185.1;NZ_CP013185.1;	1881997-1883187;1879557-1880669;2027498-2028547;	1191;1113;1050;	v1.0 (11-03-2020)	-
GCF_001886935.1_ASM188693v1_genomic	-	O163	H19	O163:H19	-	Based on 3 allele(s)	wzx:0.999;wzy:1;fliC:1;	O163-1-wzx-origin;O163-2-wzy-origin;H19-4-fliC;	99.92;100;99.945;	100;100;100;	NZ_CP016628.1;NZ_CP016628.1;NZ_CP016628.1;	1888917-1890170;1890167-1891402;1987481-1989312;	1254;1236;1832;	v1.0 (11-03-2020)	-
GCF_001888075.1_ASM188807v1_genomic	-	O6	H16	O6:H16	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O6-3-wzx-origin;O6-6-wzy-origin;H16-28-fliC;	100;100;100;	100;100;100;	NZ_CP017844.1;NZ_CP017844.1;NZ_CP017844.1;	3113294-3114550;3114550-3115893;3209084-3210658;	1257;1344;1575;	v1.0 (11-03-2020)	-
GCF_001890205.1_ASM189020v1_genomic	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-57-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	NZ_CP018237.1;NZ_CP018237.1;NZ_CP018237.1;	2803541-2804932;2805634-2806819;2643379-2645136;	1392;1186;1758;	v1.0 (11-03-2020)	-
GCF_001890225.1_ASM189022v1_genomic	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	NZ_CP018239.1;NZ_CP018239.1;NZ_CP018239.1;	2666286-2667677;2668379-2669545;2508900-2510657;	1392;1167;1758;	v1.0 (11-03-2020)	-
GCF_001890245.1_ASM189024v1_genomic	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:0.999;fliC:1;	O157-1-wzx-origin;O157-15-wzy-origin;H7-1-fliC-origin;	100;99.916;100;	100;100;100;	NZ_CP018245.1;NZ_CP018245.1;NZ_CP018245.1;	2785261-2786652;2787354-2788537;2570762-2572519;	1392;1185;1758;	v1.0 (11-03-2020)	-
GCF_001890265.1_ASM189026v1_genomic	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	NZ_CP018243.1;NZ_CP018243.1;NZ_CP018243.1;	2688624-2690015;2690717-2691883;2473984-2475741;	1392;1167;1758;	v1.0 (11-03-2020)	-
GCF_001890285.2_ASM189028v2_genomic	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	NZ_CP018252.2;NZ_CP018252.2;NZ_CP018252.2;	3513564-3514955;3515657-3516823;3297925-3299682;	1392;1167;1758;	v1.0 (11-03-2020)	-
GCF_001890305.1_ASM189030v1_genomic	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	NZ_CP018247.1;NZ_CP018247.1;NZ_CP018247.1;	2691103-2692494;2693196-2694362;2474553-2476310;	1392;1167;1758;	v1.0 (11-03-2020)	-
GCF_001890325.1_ASM189032v1_genomic	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	NZ_CP018241.1;NZ_CP018241.1;NZ_CP018241.1;	2721859-2723250;2723952-2725118;2564418-2566175;	1392;1167;1758;	v1.0 (11-03-2020)	-
GCF_001890345.1_ASM189034v1_genomic	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-22-fliC;	100;100;100;	100;100;100;	NZ_CP018250.1;NZ_CP018250.1;NZ_CP018250.1;	2708637-2710028;2710730-2711896;2492828-2494585;	1392;1167;1758;	v1.0 (11-03-2020)	-
GCF_001890365.1_ASM189036v1_genomic	-	O153	H9	O153:H9	-	Based on 3 allele(s)	wzx:0.999;wzy:1;fliC:1;	O153-3-wzx-origin;O153-4-wzy-origin;H9-5-fliC;	99.915;100;99.901;	100;100;100;	NZ_CP018206.1;NZ_CP018206.1;NZ_CP018206.1;	2859269-2860447;2861404-2862582;2739345-2741357;	1179;1179;2013;	v1.0 (11-03-2020)	High similarity O-antigen group 11:O153/O178 as per A.Iguchi et.al (PMID: 25428893)
GCF_001900295.1_ASM190029v1_genomic	-	O153	H9	O153:H9	-	Based on 3 allele(s)	wzx:0.999;wzy:1;fliC:1;	O153-3-wzx-origin;O153-4-wzy-origin;H9-5-fliC;	99.915;100;99.901;	100;100;100;	NZ_CP010116.1;NZ_CP010116.1;NZ_CP010116.1;	3414298-3415476;3416433-3417611;3291399-3293411;	1179;1179;2013;	v1.0 (11-03-2020)	High similarity O-antigen group 11:O153/O178 as per A.Iguchi et.al (PMID: 25428893)
GCF_001900315.1_ASM190031v1_genomic	-	O77/O17/O44/O106	H41	O77/O17/O44/O106:H41	-	Based on 3 allele(s)	wzx:1;wzy:0.999;fliC:0.99;	O77-1-wzx-origin/O17-1-wzx-origin;O77-3-wzy-inhouse/O17-2-wzy-origin;H41-1-fliC-origin;	100;99.925;98.869;	100;100;100;	NZ_CP010121.1;NZ_CP010121.1;NZ_CP010121.1;	2169920-2171155;2168547-2169878;2312214-2313893;	1236;1332;1680;	v1.0 (11-03-2020)	High similarity O-antigen group 9:O17/O44/O73/O77/O106 as per A.Iguchi et.al (PMID: 25428893)
GCF_001900335.1_ASM190033v1_genomic	-	O8	H8	O8:H8	-	Based on 3 allele(s)	wzm:0.996;wzt:0.998;fliC:1;	O8-13-wzm;O8-34-wzt;H8-1-fliC-origin;	99.623;99.835;100;	100;100;100;	NZ_CP010132.1;NZ_CP010132.1;NZ_CP010132.1;	3892073-3892867;3890859-3892073;3797803-3799281;	795;1215;1479;	v1.0 (11-03-2020)	-
GCF_001900355.1_ASM190035v1_genomic	-	O8	H8	O8:H8	-	Based on 3 allele(s)	wzm:0.996;wzt:0.998;fliC:1;	O8-13-wzm;O8-34-wzt;H8-1-fliC-origin;	99.623;99.835;100;	100;100;100;	NZ_CP010133.1;NZ_CP010133.1;NZ_CP010133.1;	4417225-4418019;4418019-4419233;4510811-4512289;	795;1215;1479;	v1.0 (11-03-2020)	-
GCF_001900375.1_ASM190037v1_genomic	-	O8	H23	O8:H23	-	Based on 3 allele(s)	wzm:1;wzt:1;fliC:1;	O8-16-wzm;O8-32-wzt;H23-2-fliC;	100;100;99.943;	100;100;100;	NZ_CP010150.1;NZ_CP010150.1;NZ_CP010150.1;	4202990-4203784;4203784-4204998;4340091-4341857;	795;1215;1767;	v1.0 (11-03-2020)	-
GCF_001900395.1_ASM190039v1_genomic	-	O4	H5	O4:H5	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O4-1-wzx-origin;O4-2-wzy-origin;H5-2-fliC-origin;	100;100;100;	100;100;100;	NZ_CP010151.1;NZ_CP010151.1;NZ_CP010151.1;	972512-973750;974646-975833;1217906-1219216;	1239;1188;1311;	v1.0 (11-03-2020)	-
GCF_001900415.1_ASM190041v1_genomic	-	O13/O135	H30	O13/O135:H30	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O13-1-wzx-origin;O13-2-wzy-origin;H30-1-fliC-origin;	100;100;99.883;	100;100;100;	NZ_CP010169.1;NZ_CP010169.1;NZ_CP010169.1;	4178611-4179867;4175624-4176772;4060508-4062220;	1257;1149;1713;	v1.0 (11-03-2020)	High similarity O-antigen group 10:O13/O129/O135 as per A.Iguchi et.al (PMID: 25428893)
GCF_001900435.1_ASM190043v1_genomic	-	O13/O135	H30	O13/O135:H30	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O13-1-wzx-origin;O13-2-wzy-origin;H30-1-fliC-origin;	100;100;99.883;	100;100;100;	NZ_CP010170.1;NZ_CP010170.1;NZ_CP010170.1;	2010724-2011980;2013819-2014967;2128370-2130082;	1257;1149;1713;	v1.0 (11-03-2020)	High similarity O-antigen group 10:O13/O129/O135 as per A.Iguchi et.al (PMID: 25428893)
GCF_001900455.1_ASM190045v1_genomic	-	O107/O117	H27	O107/O117:H27	-	Based on 3 allele(s)	wzx:0.999;wzy:1;fliC:1;	O107-1-wzx-origin;O107-2-wzy-origin;H27-11-fliC;	99.918;100;100;	100;100;100;	NZ_CP010171.1;NZ_CP010171.1;NZ_CP010171.1;	4718887-4720104;4720097-4721419;38297-39757;	1218;1323;1461;	v1.0 (11-03-2020)	High similarity O-antigen group 8:O107/O117 as per A.Iguchi et.al (PMID: 25428893)
GCF_001900475.1_ASM190047v1_genomic	-	O54	H8	O54:H8	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O54-1-wzx-origin;O54-2-wzy-origin;H8-1-fliC-origin;	100;100;100;	100;100;100;	NZ_CP010176.1;NZ_CP010176.1;NZ_CP010176.1;	2039762-2041012;2044856-2045914;1890905-1892383;	1251;1059;1479;	v1.0 (11-03-2020)	-
GCF_001900495.1_ASM190049v1_genomic	-	O153/O178	H8	O153/O178:H8	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O153-1-wzx-origin/O178-1-wzx-origin;O153-2-wzy-origin/O178-3-wzy-origin;H8-1-fliC-origin;	100;100;100;	100;100;100;	NZ_CP010117.1;NZ_CP010117.1;NZ_CP010117.1;	642465-643694;643699-644772;731229-732707;	1230;1074;1479;	v1.0 (11-03-2020)	High similarity O-antigen group 11:O153/O178 as per A.Iguchi et.al (PMID: 25428893)
GCF_001900515.1_ASM190051v1_genomic	-	O15	H2	O15:H2	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O15-1-wzx-origin;O15-2-wzy-origin;H2-2-fliC-origin;	100;100;100;	100;100;100;	NZ_CP010119.1;NZ_CP010119.1;NZ_CP010119.1;	4201257-4202501;4203534-4204712;3025027-3026520;	1245;1179;1494;	v1.0 (11-03-2020)	-
GCF_001900535.1_ASM190053v1_genomic	-	O10	H16	O10:H16	-	Based on 3 allele(s)	wzx:1;wzy:0.999;fliC:1;	O10-1-wzx-origin;O10-2-wzy-origin;H16-25-fliC;	100;99.904;100;	100;100;100;	NZ_CP010122.1;NZ_CP010122.1;NZ_CP010122.1;	2389960-2391480;2393501-2394543;2484654-2486228;	1521;1044;1575;	v1.0 (11-03-2020)	-
GCF_001900555.1_ASM190055v1_genomic	-	O108/O8	H10	O108/O8:H10	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O108-5-wzx-origin;O108-4-wzy-origin;H10-22-fliC;	100;100;100;	100;100;100;	NZ_CP010125.1;NZ_CP010125.1;NZ_CP010125.1;	2776416-2777537;2775239-2776429;2546516-2547778;	1122;1191;1263;	v1.0 (11-03-2020)	-
GCF_001900575.1_ASM190057v1_genomic	-	-	H32	-:H32	-	Based on 1 allele(s)	fliC:1;	H32-2-fliC;	99.942;	100;	NZ_CP010129.1;	1965793-1967505;	1713;	v1.0 (11-03-2020)	-
GCF_001900595.1_ASM190059v1_genomic	-	O103	H4	O103:H4	-	Based on 3 allele(s)	wzx:1;wzy:0.999;fliC:1;	O103-7-wzx-origin;O103-38-wzy;H4-1-fliC-origin;	100;99.913;100;	100;100;100;	NZ_CP010134.1;NZ_CP010134.1;NZ_CP010134.1;	4929653-4930918;4932805-4933949;4801491-4802540;	1266;1145;1050;	v1.0 (11-03-2020)	-
GCF_001900615.1_ASM190061v1_genomic	-	O75	H52	O75:H52	-	Based on 3 allele(s)	wzx:0.999;wzy:0.998;fliC:1;	O75-1-wzx-origin;O75-2-wzy-origin;H52-1-fliC-origin;	99.935;99.814;99.926;	100;100;100;	NZ_CP010137.1;NZ_CP010137.1;NZ_CP010137.1;	2036171-2037703;2030200-2031273;2128450-2129793;	1533;1074;1344;	v1.0 (11-03-2020)	-
GCF_001900635.1_ASM190063v1_genomic	-	O8	H9	O8:H9	-	Based on 3 allele(s)	wzm:1;wzt:1;fliC:1;	O8-16-wzm;O8-35-wzt;H9-1-fliC-origin;	100;100;99.95;	100;100;100;	NZ_CP010140.1;NZ_CP010140.1;NZ_CP010140.1;	2765876-2766670;2764662-2765876;2602294-2604306;	795;1215;2013;	v1.0 (11-03-2020)	-
GCF_001900655.1_ASM190065v1_genomic	-	O116	H38	O116:H38	-	Based on 2 allele(s)	wzx:0.983;fliC:1;	O116-5-wzx;H38-17-fliC;	98.319;100;	100;100;	NZ_CP010143.1;NZ_CP010143.1;	2555237-2556663;2424551-2425894;	1428;1344;	v1.0 (11-03-2020)	-
GCF_001900675.1_ASM190067v1_genomic	-	O9	H25	O9:H25	-	Based on 3 allele(s)	wzm:1;wzt:0.999;fliC:1;	O9-14-wzm;O9-19-wzt;H25-2-fliC-origin;	100;99.923;100;	100;100;100;	NZ_CP010145.1;NZ_CP010145.1;NZ_CP010145.1;	1437777-1438562;1436479-1437774;1293904-1295235;	786;1296;1332;	v1.0 (11-03-2020)	-
GCF_001900695.1_ASM190069v1_genomic	-	O91	H28	O91:H28	-	Based on 3 allele(s)	wzx:0.999;wzy:1;fliC:1;	O91-1-wzx-origin;O91-5-wzy;H28-7-fliC;	99.921;100;99.77;	100;100;100;	NZ_CP010148.1;NZ_CP010148.1;NZ_CP010148.1;	3981710-3982975;3985765-3986976;4093211-4094950;	1266;1212;1740;	v1.0 (11-03-2020)	-
GCF_001900715.1_ASM190071v1_genomic	-	O116	H38	O116:H38	-	Based on 2 allele(s)	wzx:0.983;fliC:1;	O116-5-wzx;H38-17-fliC;	98.319;100;	100;100;	NZ_CP010152.1;NZ_CP010152.1;	2722964-2724390;2592274-2593617;	1428;1344;	v1.0 (11-03-2020)	-
GCF_001900735.1_ASM190073v1_genomic	-	O143	H4	O143:H4	-	Based on 3 allele(s)	wzx:0.999;wzy:1;fliC:1;	O143-4-wzx;O143-7-wzy;H4-2-fliC-origin;	99.917;100;99.905;	100;100;100;	NZ_CP010157.1;NZ_CP010157.1;NZ_CP010157.1;	1897889-1899094;1901078-1902159;2091245-2092294;	1206;1082;1050;	v1.0 (11-03-2020)	-
GCF_001900775.1_ASM190077v1_genomic	-	O156	H11	O156:H11	-	Based on 3 allele(s)	wzx:0.998;wzy:1;fliC:1;	O156-1-wzx-origin;O156-2-wzy-origin;H11-4-fliC;	99.825;100;100;	100;100;100;	NZ_CP010160.1;NZ_CP010160.1;NZ_CP010160.1;	560844-561983;557361-558566;465399-466857;	1140;1206;1459;	v1.0 (11-03-2020)	-
GCF_001900795.1_ASM190079v1_genomic	-	-	H4	-:H4	-	Based on 1 allele(s)	fliC:1;	H4-15-fliC;	100;	100;	NZ_CP010163.1;	2080819-2081868;	1050;	v1.0 (11-03-2020)	-
GCF_001900815.1_ASM190081v1_genomic	-	O28	H25	O28:H25	-	Based on 3 allele(s)	wzx:0.999;wzy:1;fliC:1;	O28-1-wzx-origin;O28-4-wzy-origin;H25-2-fliC-origin;	99.921;100;100;	100;100;100;	NZ_CP010167.1;NZ_CP010167.1;NZ_CP010167.1;	3323427-3324686;3321305-3322525;3215603-3216934;	1260;1221;1332;	v1.0 (11-03-2020)	High similarity O-antigen group 2:O28/O42 as per A.Iguchi et.al (PMID: 25428893)
GCF_001900835.1_ASM190083v1_genomic	-	O89	H17	O89:H17	-	Based on 3 allele(s)	wzm:0.941;wzt:0.936;fliC:1;	O89-1-wzm-origin;O89-4-wzt;H17-4-fliC;	94.103;93.625;100;	100;100;100;	NZ_CP010172.1;NZ_CP010172.1;NZ_CP010172.1;	3417117-3417896;3417903-3418655;4837216-4838265;	780;753;1050;	v1.0 (11-03-2020)	High similarity O-antigen group 15:O89/O101/O162 as per A.Iguchi et.al (PMID: 25428893)
GCF_001900885.1_ASM190088v1_genomic	-	O116	H8	O116:H8	-	Based on 2 allele(s)	wzx:0.987;fliC:1;	O116-5-wzx;H8-2-fliC-origin;	98.669;100;	100;100;	NZ_CP010177.1;NZ_CP010177.1;	3144881-3146308;3241248-3242726;	1428;1479;	v1.0 (11-03-2020)	-
GCF_001900905.1_ASM190090v1_genomic	-	O116	H48	O116:H48	-	Based on 2 allele(s)	wzx:0.987;fliC:1;	O116-5-wzx;H48-3-fliC;	98.669;100;	100;100;	NZ_CP010228.1;NZ_CP010228.1;	1312016-1313443;1428303-1429799;	1428;1497;	v1.0 (11-03-2020)	-
GCF_001900925.1_ASM190092v1_genomic	-	O116	H8	O116:H8	-	Based on 2 allele(s)	wzx:0.987;fliC:1;	O116-5-wzx;H8-2-fliC-origin;	98.669;100;	100;100;	NZ_CP010230.1;NZ_CP010230.1;	1582051-1583478;1485634-1487112;	1428;1479;	v1.0 (11-03-2020)	-
GCF_001900945.1_ASM190094v1_genomic	-	O91	H21	O91:H21	-	Based on 2 allele(s)	wzy:1;fliC:1;	O91-5-wzy;H21-12-fliC;	100;100;	100;100;	NZ_CP010235.1;NZ_CP010235.1;	1943779-1944990;2033244-2034719;	1212;1476;	v1.0 (11-03-2020)	-
GCF_001900965.1_ASM190096v1_genomic	-	-	H7	-:H7	-	Based on 1 allele(s)	fliC:1;	H7-6-fliC-origin;	100;	100;	NZ_CP010236.1;	1849605-1851362;	1758;	v1.0 (11-03-2020)	-
GCF_001900985.1_ASM190098v1_genomic	-	-	H34	-:H34	-	Based on 1 allele(s)	fliC:0.66;	H34-3-fliC;	98.547;	67;	NZ_CP010237.1;	3805327-3806427;	1101;	v1.0 (11-03-2020)	-
GCF_001901005.1_ASM190100v1_genomic	-	O8	H21	O8:H21	-	Based on 3 allele(s)	wzm:1;wzt:1;fliC:1;	O8-16-wzm;O8-32-wzt;H21-12-fliC;	100;100;100;	100;100;100;	NZ_CP010178.1;NZ_CP010178.1;NZ_CP010178.1;	1915137-1915931;1913923-1915137;1807745-1809220;	795;1215;1476;	v1.0 (11-03-2020)	-
GCF_001901025.1_ASM190102v1_genomic	-	O132	H49	O132:H49	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O132-4-wzx;O132-6-wzy;H49-3-fliC;	100;100;99.764;	100;100;100;	NZ_CP010180.1;NZ_CP010180.1;NZ_CP010180.1;	937062-938345;932205-933404;770555-772249;	1284;1200;1695;	v1.0 (11-03-2020)	-
GCF_001901045.1_ASM190104v1_genomic	-	O132	H49	O132:H49	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O132-4-wzx;O132-6-wzy;H49-3-fliC;	100;100;99.764;	100;100;100;	NZ_CP010183.1;NZ_CP010183.1;NZ_CP010183.1;	3993792-3995075;3998733-3999932;4159888-4161582;	1284;1200;1695;	v1.0 (11-03-2020)	-
GCF_001901065.1_ASM190106v1_genomic	-	O153/O178	H7	O153/O178:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O153-1-wzx-origin/O178-1-wzx-origin;O153-2-wzy-origin/O178-3-wzy-origin;H7-6-fliC-origin;	100;100;100;	100;100;100;	NZ_CP010186.1;NZ_CP010186.1;NZ_CP010186.1;	2056607-2057836;2055529-2056602;1965270-1967027;	1230;1074;1758;	v1.0 (11-03-2020)	High similarity O-antigen group 11:O153/O178 as per A.Iguchi et.al (PMID: 25428893)
GCF_001901085.1_ASM190108v1_genomic	-	O65	H7	O65:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O65-1-wzx-origin;O65-2-wzy-origin;H7-6-fliC-origin;	100;100;100;	100;100;100;	NZ_CP010191.1;NZ_CP010191.1;NZ_CP010191.1;	3339482-3340732;3344655-3345926;3438239-3439996;	1251;1272;1758;	v1.0 (11-03-2020)	-
GCF_001901105.1_ASM190110v1_genomic	-	O153/O178	H7	O153/O178:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O153-1-wzx-origin/O178-1-wzx-origin;O153-2-wzy-origin/O178-3-wzy-origin;H7-6-fliC-origin;	100;100;100;	100;100;100;	NZ_CP010196.1;NZ_CP010196.1;NZ_CP010196.1;	2056146-2057375;2055068-2056141;1964809-1966566;	1230;1074;1758;	v1.0 (11-03-2020)	High similarity O-antigen group 11:O153/O178 as per A.Iguchi et.al (PMID: 25428893)
GCF_001901125.1_ASM190112v1_genomic	-	O168	H16	O168:H16	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O168-1-wzx-origin;O168-2-wzy-origin;H16-27-fliC;	100;100;100;	100;100;100;	NZ_CP010200.1;NZ_CP010200.1;NZ_CP010200.1;	603951-605222;600302-601534;490125-491699;	1272;1233;1575;	v1.0 (11-03-2020)	-
GCF_001901145.1_ASM190114v1_genomic	-	O153/O178	H7	O153/O178:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O153-1-wzx-origin/O178-1-wzx-origin;O153-2-wzy-origin/O178-3-wzy-origin;H7-6-fliC-origin;	100;100;100;	100;100;100;	NZ_CP010206.1;NZ_CP010206.1;NZ_CP010206.1;	1153804-1155033;1155038-1156111;1244613-1246370;	1230;1074;1758;	v1.0 (11-03-2020)	High similarity O-antigen group 11:O153/O178 as per A.Iguchi et.al (PMID: 25428893)
GCF_001901165.1_ASM190116v1_genomic	-	O153/O178	H7	O153/O178:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O153-1-wzx-origin/O178-1-wzx-origin;O153-2-wzy-origin/O178-3-wzy-origin;H7-6-fliC-origin;	100;100;100;	100;100;100;	NZ_CP010213.1;NZ_CP010213.1;NZ_CP010213.1;	1937957-1939186;1939191-1940264;2028767-2030524;	1230;1074;1758;	v1.0 (11-03-2020)	High similarity O-antigen group 11:O153/O178 as per A.Iguchi et.al (PMID: 25428893)
GCF_001901185.1_ASM190118v1_genomic	-	O180	H14	O180:H14	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O180-4-wzx;O180-6-wzy;H14-3-fliC;	100;100;100;	100;100;100;	NZ_CP010219.1;NZ_CP010219.1;NZ_CP010219.1;	919562-920821;918197-919528;771779-773431;	1260;1332;1653;	v1.0 (11-03-2020)	-
GCF_001901215.1_ASM190121v1_genomic	-	O153/O178	H7	O153/O178:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O153-1-wzx-origin/O178-1-wzx-origin;O153-2-wzy-origin/O178-3-wzy-origin;H7-6-fliC-origin;	100;100;100;	100;100;100;	NZ_CP010221.1;NZ_CP010221.1;NZ_CP010221.1;	1144245-1145474;1145479-1146552;1235054-1236811;	1230;1074;1758;	v1.0 (11-03-2020)	High similarity O-antigen group 11:O153/O178 as per A.Iguchi et.al (PMID: 25428893)
GCF_001901315.1_ASM190131v1_genomic	-	O127	H4	O127:H4	-	Based on 3 allele(s)	wzx:1;wzy:0.996;fliC:1;	O127-2-wzx-origin;O127-4-wzy-origin;H4-1-fliC-origin;	100;99.572;100;	100;100;100;	NZ_CP010226.1;NZ_CP010226.1;NZ_CP010226.1;	1295222-1296493;1297151-1298317;1465125-1466174;	1272;1167;1050;	v1.0 (11-03-2020)	High similarity O-antigen group 4:O90/O127 as per A.Iguchi et.al (PMID: 25428893)
GCF_001901365.1_ASM190136v1_genomic	-	O8	H11	O8:H11	-	Based on 3 allele(s)	wzm:1;wzt:1;fliC:1;	O8-16-wzm;O8-32-wzt;H11-4-fliC;	100;100;100;	100;100;100;	NZ_CP010231.1;NZ_CP010231.1;NZ_CP010231.1;	1416200-1416994;1414986-1416200;1301036-1302494;	795;1215;1459;	v1.0 (11-03-2020)	-
GCF_001901405.1_ASM190140v1_genomic	-	O153	H19	O153:H19	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O153-3-wzx-origin;O153-4-wzy-origin;H19-4-fliC;	100;100;99.945;	100;100;100;	NZ_CP010238.1;NZ_CP010238.1;NZ_CP010238.1;	76739-77917;78874-80052;4736958-4738789;	1179;1179;1832;	v1.0 (11-03-2020)	High similarity O-antigen group 11:O153/O178 as per A.Iguchi et.al (PMID: 25428893)
GCF_001901425.1_ASM190142v1_genomic	-	O15	H2	O15:H2	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O15-1-wzx-origin;O15-2-wzy-origin;H2-2-fliC-origin;	100;100;100;	100;100;100;	NZ_CP010240.1;NZ_CP010240.1;NZ_CP010240.1;	4235597-4236841;4233386-4234564;4068203-4069696;	1245;1179;1494;	v1.0 (11-03-2020)	-
GCF_001901445.1_ASM190144v1_genomic	-	O103	H16	O103:H16	-	Based on 2 allele(s)	wzx:1;fliC:1;	O103-1-wzx-origin;H16-27-fliC;	100;99.937;	100;100;	NZ_CP010242.1;NZ_CP010242.1;	4080909-4082174;3985215-3986789;	1266;1575;	v1.0 (11-03-2020)	-
GCF_001901465.1_ASM190146v1_genomic	-	O105	H20	O105:H20	-	Based on 3 allele(s)	wzx:0.994;wzy:0.996;fliC:0.99;	O105-1-wzx-origin;O105-2-wzy-origin;H20-3-fliC;	99.37;99.611;98.787;	100;100;100;	NZ_CP010229.1;NZ_CP010229.1;NZ_CP010229.1;	3481182-3482609;3476245-3477273;3607320-3609050;	1428;1029;1731;	v1.0 (11-03-2020)	-
GCF_001932515.1_ASM193251v1_genomic	-	O16	H48	O16:H48	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O16-1-wzx-origin;O16-2-wzy-origin;H48-1-fliC-origin;	100;100;100;	100;100;100;	NZ_CP018801.1;NZ_CP018801.1;NZ_CP018801.1;	1776676-1777923;1779034-1780200;1882654-1884150;	1248;1167;1497;	v1.0 (11-03-2020)	-
GCF_001936315.1_ASM193631v1_genomic	-	O3	H26	O3:H26	-	Based on 3 allele(s)	wzx:1;wzy:0.999;fliC:1;	O3-3-wzx;O3-5-wzy;H26-4-fliC;	100;99.908;99.94;	100;100;100;	NZ_CP017631.1;NZ_CP017631.1;NZ_CP017631.1;	1927533-1929026;1930174-1931259;2996017-2997689;	1494;1086;1673;	v1.0 (11-03-2020)	-
GCF_001971765.1_ASM197176v1_genomic	-	O86	H51	O86:H51	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O86-7-wzx;O86-15-wzy;H51-2-fliC-origin;	100;100;100;	100;100;100;	NZ_CP019359.1;NZ_CP019359.1;NZ_CP019359.1;	1878362-1879564;1880252-1881593;1997919-1999736;	1203;1342;1818;	v1.0 (11-03-2020)	-
